,idx,propused,propavail,pval
1,E1,0.30,0.42,0.000290707
2,E2,0.29,0.38,0.00251337
3,E4,0.34,0.41,0.029666934
4,E6,0.34,0.37,0.359439268
5,E7,0.30,0.37,0.032036063
6,E8,0.31,0.38,0.020406137
7,E10,0.53,0.58,0.127046849
8,E12,0.42,0.40,0.606861707
9,E13,0.42,0.38,0.332921608
