,idx,propused,propavail,pval
1,E10,0.35,0.19,1.16E-08
2,E12,0.24,0.12,1.20E-06
3,E13,0.21,0.16,0.103357297
4,E1,0.53,0.27,1.47E-16
5,E2,0.54,0.20,2.03E-28
6,E4,0.49,0.22,2.89E-19
7,E6,0.48,0.19,2.20E-20
8,E7,0.43,0.24,1.18E-10
9,E8,0.50,0.23,1.90E-17
