"","x","y","layer"
"1",-123.601217557379,41.7401692517554,1
"2",-123.598523467379,41.7401692517554,1
"3",-123.595829377379,41.7401692517554,1
"4",-123.593135287379,41.7401692517554,1
"5",-123.590441197379,41.7401692517554,1
"6",-123.587747107379,41.7401692517554,1
"7",-123.584783608379,41.7401692517554,1
"8",-123.582089518379,41.7401692517554,1
"9",-123.579395428379,41.7401692517554,1
"10",-123.576701338379,41.7401692517554,1
"11",-123.574007248379,41.7401692517554,1
"12",-123.571313158379,41.7401692517554,1
"13",-123.568619068379,41.7401692517554,4
"14",-123.565924978379,41.7401692517554,3
"15",-123.563230888379,41.7401692517554,3
"16",-123.560536798379,41.7401692517554,2
"17",-123.557842708379,41.7401692517554,2
"18",-123.554879209379,41.7401692517554,2
"19",-123.552185119379,41.7401692517554,2
"20",-123.549491029379,41.7401692517554,2
"21",-123.546796939379,41.7401692517554,1
"22",-123.544102849379,41.7401692517554,1
"23",-123.541408759379,41.7401692517554,1
"24",-123.538714669379,41.7401692517554,1
"25",-123.536020579379,41.7401692517554,1
"26",-123.533326489379,41.7401692517554,1
"27",-123.530632399379,41.7401692517554,1
"28",-123.527938309379,41.7401692517554,1
"29",-123.525244219379,41.7401692517554,1
"30",-123.522280720379,41.7401692517554,1
"31",-123.519586630379,41.7401692517554,1
"32",-123.516892540379,41.7401692517554,1
"33",-123.514198450379,41.7401692517554,1
"34",-123.511504360379,41.7401692517554,1
"35",-123.508810270379,41.7401692517554,1
"36",-123.506116180379,41.7401692517554,1
"37",-123.503422090379,41.7401692517554,1
"38",-123.500728000379,41.7401692517554,1
"39",-123.498033910379,41.7401692517554,1
"40",-123.495339820379,41.7401692517554,1
"41",-123.492645730379,41.7401692517554,1
"42",-123.489682231379,41.7401692517554,1
"43",-123.486988141379,41.7401692517554,1
"44",-123.484294051379,41.7401692517554,1
"45",-123.481599961379,41.7401692517554,1
"46",-123.478905871379,41.7401692517554,1
"47",-123.476211781379,41.7401692517554,1
"48",-123.473517691379,41.7401692517554,1
"49",-123.470823601379,41.7401692517554,1
"50",-123.468129511379,41.7401692517554,1
"51",-123.465435421379,41.7401692517554,1
"52",-123.462741331379,41.7401692517554,1
"53",-123.459777832379,41.7401692517554,1
"54",-123.457083742379,41.7401692517554,1
"55",-123.454389652379,41.7401692517554,1
"56",-123.451695562379,41.7401692517554,1
"57",-123.449001472379,41.7401692517554,1
"58",-123.446307382379,41.7401692517554,1
"59",-123.443613292379,41.7401692517554,1
"60",-123.440919202379,41.7401692517554,1
"61",-123.438225112379,41.7401692517554,1
"62",-123.435531022379,41.7401692517554,1
"63",-123.432836932379,41.7401692517554,1
"64",-123.430142842379,41.7401692517554,1
"65",-123.427179343379,41.7401692517554,1
"66",-123.424485253379,41.7401692517554,1
"67",-123.421791163379,41.7401692517554,1
"68",-123.419097073379,41.7401692517554,1
"69",-123.416402983379,41.7401692517554,1
"70",-123.413708893379,41.7401692517554,1
