"","idx","propused","propavail","pval"
"1","E10",0.334,0.194,7.42003518971636e-07
"2","E12",0.298,0.14,2.45942386835234e-09
"3","E13",0.186,0.144,0.0883992703956864
"4","E1",0.53,0.272,1.46970348842703e-16
"5","E2",0.542,0.202,2.02875580350288e-28
"6","E4",0.49290060851927,0.216768916155419,2.894946791222e-19
"7","E6",0.476673427991886,0.194616977225673,2.20102655200484e-20
"8","E7",0.43,0.236,1.18307836421051e-10
"9","E8",0.495951417004049,0.233870967741935,1.89654064775736e-17
