,idx,propused,propavail,pval
1,E10,0.07,0.04,0.052147082
2,E12,0.06,0.07,0.597137751
3,E13,0.05,0.06,0.484199527
4,E1,0.20,0.09,9.26E-07
5,E2,0.12,0.05,6.61E-05
6,E4,0.16,0.06,3.47E-06
7,E6,0.16,0.06,2.52E-07
8,E7,0.15,0.04,5.75E-09
9,E8,0.19,0.05,1.15E-10
