"","x","y","layer"
"1",-123.3046876595,41.2044094969879,1
"2",-123.3019935695,41.2044094969879,2
"3",-123.2992994795,41.2044094969879,1
"4",-123.2966053895,41.2044094969879,1
"5",-123.2939112995,41.2044094969879,2
"6",-123.2912172095,41.2044094969879,2
"7",-123.2885231195,41.2044094969879,1
"8",-123.2855596205,41.2044094969879,2
"9",-123.2828655305,41.2044094969879,3
"10",-123.2801714405,41.2044094969879,2
"11",-123.2774773505,41.2044094969879,2
"12",-123.2747832605,41.2044094969879,3
"13",-123.2720891705,41.2044094969879,4
"14",-123.2693950805,41.2044094969879,3
"15",-123.2667009905,41.2044094969879,2
"16",-123.2640069005,41.2044094969879,2
"17",-123.2613128105,41.2044094969879,1
"18",-123.2586187205,41.2044094969879,2
"19",-123.2559246305,41.2044094969879,2
"20",-123.2532305405,41.2044094969879,2
"21",-123.2502670415,41.2044094969879,1
"22",-123.2475729515,41.2044094969879,2
"23",-123.2448788615,41.2044094969879,3
"24",-123.2421847715,41.2044094969879,2
"25",-123.2394906815,41.2044094969879,1
"26",-123.2367965915,41.2044094969879,1
"27",-123.2341025015,41.2044094969879,1
"28",-123.2314084115,41.2044094969879,2
"29",-123.2287143215,41.2044094969879,2
"30",-123.2260202315,41.2044094969879,1
"31",-123.2233261415,41.2044094969879,1
"32",-123.2206320515,41.2044094969879,1
"33",-123.2179379615,41.2044094969879,1
"34",-123.2152438715,41.2044094969879,1
"35",-123.2122803725,41.2044094969879,1
"36",-123.2095862825,41.2044094969879,1
"37",-123.2068921925,41.2044094969879,1
"38",-123.2041981025,41.2044094969879,1
"39",-123.2015040125,41.2044094969879,1
"40",-123.1988099225,41.2044094969879,1
"41",-123.1961158325,41.2044094969879,1
"42",-123.1934217425,41.2044094969879,1
"43",-123.1907276525,41.2044094969879,1
"44",-123.1880335625,41.2044094969879,1
"45",-123.1853394725,41.2044094969879,1
"46",-123.1826453825,41.2044094969879,1
"47",-123.1799512925,41.2044094969879,1
"48",-123.1769877935,41.2044094969879,1
"49",-123.1742937035,41.2044094969879,1
"50",-123.1715996135,41.2044094969879,1
"51",-123.1689055235,41.2044094969879,1
