lon,lat
-123.348306,41.65094664
-123.5117861,41.4865372
-123.866262,41.14630404
-123.1567751,41.05532023
-123.3791574,41.51140696
-123.0728248,41.10446204
-123.9105088,41.13427958
-123.3974527,41.52652265
-123.8521319,41.12904223
-124.0851386,41.02361824
-123.438478,41.68197395
-123.1536439,41.07516937
-123.3690183,41.53864226
-123.5212833,41.47133503
-123.0864549,41.0544666
-123.5139367,41.47522327
-123.8600644,41.1380272
-123.0925714,41.12218474
-123.0672094,41.09837599
-123.3901396,41.50630806
-123.0809284,41.1184912
-123.0846215,41.10953453
-123.491807,41.50575612
-123.8653811,41.13097024
-123.4981345,41.47145562
-123.5422945,41.47627305
-123.0795781,41.13462554
-123.8867603,41.1499764
-123.5170985,41.48274833
-123.1430568,41.07306609
-123.0862858,41.08894983
-123.527149,41.48728749
-123.3738067,41.499931
-123.3715141,41.5222588
-123.5184894,41.49644236
-123.5298085,41.47112493
-123.402371,41.50973377
-124.04109,40.98937973
-123.3630305,41.53550874
-123.1383936,41.08017919
-123.897256,41.14797645
-123.1247899,41.05682764
-123.8589843,41.13012633
-123.5077134,41.50342614
-123.50872,41.47894852
-123.3676154,41.50471589
-123.3611805,41.53049745
-123.1041114,41.15790969
-123.3909462,41.70971626
-123.1583089,41.06465958
-123.4960167,41.49213685
-123.4303092,41.64611126
-123.5145726,41.50109877
-123.4197472,41.68946576
-124.1138039,41.93987963
-123.5305801,41.49230687
-123.5231854,41.49342163
-123.0978246,41.13008045
-123.1611922,41.07564549
-123.8568419,41.11196432
-123.4355692,41.67110437
-123.1863689,41.06290607
-123.0938748,41.05873967
-123.1606448,41.05127025
-123.8866774,41.14382467
-124.1195459,41.92125219
-123.0679626,41.12436382
-123.4273798,41.49333112
-123.8781611,41.13070237
-123.3880689,41.52676187
-123.5040887,41.49336279
-123.0572092,41.10143513
-123.1366319,41.07454221
-123.0535527,41.11533634
-123.4451996,41.69841313
-123.3545182,41.53315735
-123.4273032,41.51266133
-123.5020563,41.46287247
-123.3768391,41.66314244
-123.4117942,41.69353873
-123.1161932,41.07459166
-123.0421425,41.09787443
-123.8903978,41.15634391
-123.4624269,41.49743805
-123.8467371,41.12271342
-123.4072268,41.48528853
-123.4769929,41.48727223
-123.0623575,41.09274867
-123.5006113,41.50384459
-123.4981463,41.46674467
-123.0746181,41.10001991
-123.8566759,41.12027086
-123.3727633,41.52692059
-123.5209896,41.50195261
-123.0786652,41.10852985
-123.505154,41.48553066
-123.3815324,41.51995614
-123.8992342,41.14012418
-123.8830444,41.15369817
-123.1024057,41.05742622
-123.4783509,41.64072423
-123.0903189,41.11271906
-124.1406059,41.92689018
-123.5371972,41.47976483
-123.3815354,41.69361615
-123.0797653,41.09244967
-123.9143465,41.16610994
-123.4484304,41.67388316
-123.0719328,41.09463479
-123.4177417,41.49424926
-123.3724256,41.53282152
-123.8580121,41.10029935
-123.9068712,41.16169215
-123.0950056,41.05064942
-123.3811357,41.52996466
-123.3723586,41.51487
-123.4151232,41.64869813
-123.1393123,41.04728938
-123.3825085,41.54325499
-123.4428784,41.68940597
-123.4631254,41.66751988
-123.092695,41.11689691
-124.1236189,41.93825287
-123.3951141,41.70527952
-123.1580228,41.06947031
-123.4158176,41.68010362
-123.5539657,41.52333516
-123.8785957,41.14541793
-123.1496987,41.06769782
-123.4538633,41.65718057
-123.4159063,41.5163421
-123.4528854,41.70957892
-123.8888834,41.13863715
-123.0511794,41.09628535
-123.8423294,41.10500012
-123.1696915,41.06171574
-123.4219911,41.50292591
-123.8533222,41.12436733
-123.1297187,41.07600951
-123.3606605,41.67622771
-123.3762646,41.53954654
-123.4076108,41.49878032
-123.063716,41.13084302
-123.3640325,41.52606583
-123.118356,41.07917458
-123.3481144,41.54162583
-123.4209796,41.51325211
-123.366574,41.54313575
-123.4539852,41.68479602
-123.1507983,41.05929179
-123.4388485,41.64276433
-123.084421,41.10180576
-123.3569619,41.52628616
-124.067093,41.02129153
-123.5282014,41.50771147
-123.4886104,41.49496085
-124.1136324,41.93001909
-123.4326975,41.48951911
-123.417776,41.50704868
-123.5220758,41.45816252
-123.1370145,41.06961431
-123.4318324,41.49994396
-123.3728056,41.50922091
-124.0759845,41.02024501
-123.0070393,41.11316862
-123.4017622,41.70163561
-122.9984039,41.11623156
-123.8972905,41.15749747
-123.1275226,41.14690541
-123.1464762,41.07982689
-123.4297131,41.67566602
-123.5181819,41.48793174
-123.852835,41.10697664
-123.0740723,41.11241537
-124.0822227,41.00752136
-123.4412756,41.66762386
-123.1660177,41.05373086
-123.5282251,41.45899917
-124.012076,40.96093839
-123.1542302,41.05098174
-124.1016326,41.91817408
-123.4978947,41.45733295
-123.1172438,41.09639921
-123.3979152,41.69562323
-123.8900159,41.16335496
-123.1267047,41.03760213
-123.1019352,41.06872284
-123.8660816,41.13712637
-123.866167,41.14180082
-123.0740767,41.13744872
-123.4128007,41.48967331
-123.3617421,41.51080551
-123.0775325,41.06696724
-124.1058336,41.93588571
-123.3607958,41.64882745
-124.0929547,41.93539659
-123.8790228,41.13991987
-123.8712693,41.1086583
-123.4499511,41.71455335
-123.5388347,41.488035
-123.4475519,41.67886754
-123.1265646,41.10109156
-123.0799623,41.07813566
-123.1658617,41.06744148
-123.872198,41.15811359
-123.406915,41.6229038
-124.042756,41.00306589
-123.0939767,41.06343283
-123.1141927,41.06736914
-123.5235524,41.48245792
-123.1575715,41.05989529
-123.3600731,41.54695739
-123.5046794,41.47222875
-123.0547707,41.09035637
-123.4510817,41.66475754
-123.5247571,41.47737224
-123.0870702,41.13299867
-123.8980858,41.13455727
-123.3952815,41.51245157
-123.4901902,41.45977103
-123.1117369,41.05096772
-123.4244716,41.49746729
-123.8927822,41.15200169
-123.1417432,41.06557295
-123.9854599,40.92672187
-124.1198066,41.91478291
-123.0866724,41.07508606
-123.0752066,41.0730853
-123.3823896,41.70797966
-123.5184322,41.50729655
-123.3554355,41.51239246
-123.4986325,41.50830285
-123.4957726,41.45224388
-123.1795751,41.05491763
-123.4426966,41.66112423
-123.4362742,41.66165319
-123.3801919,41.55508032
-123.1390962,41.05770306
-123.4756164,41.50706724
-123.4413987,41.67333392
-123.1482026,41.05341284
-123.0575959,41.10788472
-123.3690311,41.6188613
-123.0459495,41.09272935
-123.3670137,41.62505574
-123.8608098,41.09568443
-123.0658131,41.10724075
-124.0805737,41.01213091
-123.0624591,41.07433604
-123.1555369,41.08031947
-123.4023806,41.69093299
-123.872098,41.13077546
-124.1085832,41.90937977
-123.5253006,41.49869934
-123.0580982,41.09672346
-123.5556484,41.53089322
-123.3648176,41.55486891
-123.4810121,41.44599229
-123.3932708,41.70062016
-123.4022835,41.51689497
-123.9983432,40.93124123
-123.4935672,41.49929027
-123.365308,41.51843252
-123.3768249,41.50387541
-124.1346326,41.92194171
-123.4996059,41.48840124
-123.3947688,41.53063026
-123.4909509,41.65867646
-123.4514204,41.69431765
-123.0557749,41.13738697
-123.4792722,41.45357485
-123.4111247,41.51069363
-123.4343083,41.50469956
-123.3768257,41.64436249
-123.4102645,41.68731127
-124.0798864,41.95369553
-123.0488517,41.10457379
-123.1168607,41.06166431
-123.4367515,41.69495078
-123.3700081,41.64488904
-123.1954923,41.05715277
-123.4183251,41.48251044
-123.4908996,41.51094826
-123.994465,40.94271509
-123.5366846,41.46844487
-123.125171,41.15105167
-123.0868241,41.08185104
-123.4246236,41.6708481
-123.0632835,41.10233276
-123.500967,41.48159471
-123.884656,41.13439095
-123.5578376,41.50943607
-123.1146926,41.04678503
-123.5495318,41.47382471
-123.8451701,41.10921304
-123.123881,41.14322511
-123.8403704,41.09613259
-123.8368033,41.08809642
-123.0692944,41.0767373
-123.4291541,41.65118663
-123.4472711,41.50614511
-123.1165435,41.11117316
-123.0655674,41.0877564
-123.1334601,41.03651352
-123.87221,41.14193538
-123.3543221,41.51917848
-123.4890499,41.486492
-123.1150108,41.15424208
-123.5162025,41.46190911
-123.4112015,41.50389276
-123.3934424,41.50163997
-123.3507383,41.54574323
-123.382356,41.54788528
-123.468705,41.66336298
-123.4161754,41.50035297
-123.1024106,41.12190617
-123.5433596,41.48333886
-123.4331742,41.65610749
-123.3753558,41.54409823
-123.4199209,41.67552207
